lon,lat
-118.4585206,34.1531983
-118.2323104,34.0458388
-118.364959,34.1001516
-118.2401364,34.0402406
-118.2928127,34.1035737
-118.3105321,34.0448031
-118.2106268,34.0167063
-118.3079219,34.0985611
-118.449306,34.2134139
-118.2982019,34.0664668
-118.4722537,34.2341527
-118.179852,34.0653099
-118.2635696,34.0396278
-118.2423834,34.0213165
-118.5632191,34.2418781
-118.2838379,34.0920371
-118.5632191,34.2418781
-118.2918661,34.0148163
-118.2475435,34.0232124
-118.2783341,34.0161585
-118.4843237,34.1947121
-118.2744448,33.9960981
-118.4565853,34.3036961
-118.2695869,34.0468605
-118.317295,34.100805
-118.3852872,34.1652395
-118.3313098,34.0994241
-118.3837668,34.165285
-118.2176886,34.0378556
-118.2626894,34.0511425
-118.4673263,34.1988449
-118.3429531,34.103746
-118.3959999,34.0556647
-118.2656585,34.0605269
-118.4479348,34.2728745
-118.5366229,34.178382
-118.5365905,34.1834669
-118.3282084,34.0906015
-118.2995263,34.0875374
-118.4407707,33.9549451
-118.4133437,34.0294786
-118.3470748,34.1011985
-118.3161938,34.1050928
-118.2253654,34.0407905
-118.5364787,34.1827608
-118.4534532,34.2144619
-118.2832213,34.0687681
-118.2974712,34.0768908
-118.552748,34.2288186
-118.2642255,34.0442139
-118.5364699,34.2131198
-118.3758014,34.0537557
-118.3840864,34.2454996
-118.3756414,34.17084
-118.4932406,34.196787
-118.4446494,34.0307364
-118.395726,33.95411
-118.2332742,34.0216664
-118.5941538,34.2087044
-118.415357,34.0260228
-118.3176573,34.1050407
-118.3264572,34.0976033
-118.3720193,33.9767364
-118.416723,33.9556606
-118.2823992,33.9979688
-118.235719,34.021313
-118.244956,34.115099
-118.3777027,34.0702135
-118.3086814,33.7503143
-118.2542975,34.0466358
-118.4358978,33.9996917
-118.4664595,34.0461236
-118.3678351,34.2307423
-118.224527,34.041604
-118.2876517,33.8482792
-118.3994232,34.252498
-118.596722,34.227844
-118.2865098,33.7085508
-118.343679,34.066349
-118.4021161,34.0279754
-118.5286344,34.2282118
-118.4435542,34.0494036
-118.416723,33.9556606
-118.264289,34.0530018
-118.4606721,34.193652
-118.2586539,34.0153049
-118.398168,34.1972307
-118.2408169,34.0035507
-118.3741192,33.9407944
-118.5935667,34.1765209
-118.5670026,34.2206333
-118.4454251,34.1813703
-118.4430523,34.0542871
-118.4232156,34.157316
-118.440297,34.150944
-118.5890876,34.2418409
-118.6034426,34.244685
-118.4432805,34.0498722
-118.5546394,34.2079778
-118.4302294,34.0287597
-118.4123853,34.2953523
-118.4134122,34.1600943
-118.307583,33.82943
-118.3086814,33.7503143
-118.2592644,34.0251578
-118.294531,34.070067
-118.2745632,34.1067286
-118.5218342,34.2497082
-118.2995462,34.0523394
-118.3086814,33.7503143
-118.4758984,34.1934918
-118.3928048,34.1554259
-118.4023443,34.1652123
-118.3065119,34.1050351
-118.2620727,34.0402294
-118.4271205,34.0562524
-118.3714872,34.2326993
-118.5202423,34.2501133
-118.559827,34.2396203
-118.3015358,34.0969541
-118.572959,34.2326268
-118.2510634,34.0424537
-118.3120267,34.0449839
-118.5968491,34.1878145
-118.3070617,34.0564915
-118.2963751,34.0678834
-118.3049607,34.0593244
-118.4407707,33.9549451
-118.2793846,34.0649246
-118.3045956,34.07023
-118.2583109,34.0485809
-118.2485965,34.0277762
-118.58651,34.2461087
-118.2580071,33.7853256
-118.3328159,34.1030084
-118.4407707,33.9549451
-118.4602088,34.0510935
-118.3097938,34.0996499
-118.348031,34.097162
-118.3208986,34.0977107
-118.294536,34.071491
-118.4323538,34.17995
-118.3199991,34.0319338
-118.4309508,34.3075453
-118.4305945,34.0247489
-118.5889393,34.1949036
-118.306241,34.0685277
-118.4466799,34.2721339
-118.4132727,34.1629859
-118.3770677,34.1626901
-118.4418307,33.9560214
-118.6257669,34.1919549
-118.310874,34.054145
-118.5332664,34.1945532
-118.5250313,34.2577942
-118.4301633,34.0240116
-118.4231626,34.0194565
-118.4394675,34.0218937
-118.6028699,34.1973802
-118.2970145,34.0670836
-118.3189371,34.1068068
-118.3868098,34.1804439
-118.388401,34.20545
-118.4292261,34.0229398
-118.4164472,34.2008735
-118.4558178,34.157136
-118.3536368,34.0951528
-118.4319635,34.2202452
-118.3329653,34.1014225
-118.2882776,34.1119904
-118.3526324,34.0152469
-118.2656852,33.9240296
-118.3056917,34.2592264
-118.3707327,34.2090475
-118.395726,33.9551508
-118.460916,34.0472579
-118.4373027,34.1571414
-118.4507182,34.2089367
-118.3511435,34.0156696
-118.295827,34.0969812
-118.262688,33.989278
-118.2777392,34.0159801
-118.473303,34.048959
-118.3048697,34.066161
-118.4983649,34.2130436
-118.456809,34.1575529
-118.4669771,34.1537172
-118.1938814,34.1047834
-118.3019012,34.0975027
-118.4571309,34.1954776
-118.4565871,34.034266
-118.3015371,34.0600009
-118.5712719,34.2028676
-118.4547335,34.2250048
-118.268148,34.0528425
-118.2233315,34.082704
-118.2931913,34.0661216
-118.394281,34.0317164
-118.2674857,34.0505064
-118.419873,33.9772392
-118.322611,34.0978221
-118.4988955,34.2129079
-118.2980877,34.2579574
-118.2839978,33.9096427
-118.3032712,33.8439885
-118.4050828,33.9785419
-118.3767826,34.1596481
-118.3714872,33.944043
-118.5822601,34.2315462
-118.6050321,34.2343241
-118.6038192,34.1979376
